Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
Standard Class,Corporate,United States,Rochester,New York,14609,East,Office Supplies,Binders,6.984,1,0.2,2.3571
First Class,Corporate,United States,Middletown,Connecticut,6457,East,Office Supplies,Paper,48.16,7,0.0,22.1536
Second Class,Corporate,United States,Toledo,Ohio,43615,East,Office Supplies,Appliances,17.48,5,0.2,1.311
Standard Class,Corporate,United States,New York City,New York,10009,East,Technology,Phones,4.95,1,0.0,1.3365
Standard Class,Corporate,United States,Middletown,Connecticut,6457,East,Furniture,Furnishings,181.95,3,0.0,38.2095
Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Paper,13.52,4,0.0,6.2192
Standard Class,Consumer,United States,New York City,New York,10011,East,Furniture,Furnishings,259.7,5,0.0,106.477
Standard Class,Consumer,United States,New York City,New York,10011,East,Technology,Phones,42.95,1,0.0,1.2885
Standard Class,Consumer,United States,New York City,New York,10011,East,Technology,Accessories,1399.93,7,0.0,601.9699
Standard Class,Consumer,United States,New York City,New York,10011,East,Technology,Phones,503.96,4,0.0,125.99
Standard Class,Consumer,United States,New York City,New York,10009,East,Technology,Accessories,390.75,5,0.0,171.93
Second Class,Corporate,United States,New York City,New York,10035,East,Office Supplies,Binders,79.872,3,0.2,29.952
Second Class,Corporate,United States,New York City,New York,10035,East,Furniture,Bookcases,46.384,1,0.2,1.1596
Second Class,Corporate,United States,New York City,New York,10035,East,Office Supplies,Paper,12.96,2,0.0,6.2208
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,547.136,4,0.2,-68.392
Same Day,Consumer,United States,Fairfield,Connecticut,6824,East,Office Supplies,Envelopes,10.86,3,0.0,5.1042
Same Day,Consumer,United States,Fairfield,Connecticut,6824,East,Office Supplies,Appliances,426.79,7,0.0,123.7691
Same Day,Consumer,United States,New York City,New York,10009,East,Office Supplies,Paper,25.92,4,0.0,12.4416
Same Day,Consumer,United States,New York City,New York,10009,East,Office Supplies,Paper,45.92,4,0.0,22.5008
Standard Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Art,10.72,2,0.2,1.742
First Class,Home Office,United States,Franklin,Massachusetts,2038,East,Furniture,Furnishings,63.2,5,0.0,23.384
First Class,Home Office,United States,Franklin,Massachusetts,2038,East,Technology,Accessories,113.97,3,0.0,27.3528
Standard Class,Corporate,United States,New York City,New York,10024,East,Furniture,Tables,1579.746,7,0.4,-447.5947
Standard Class,Corporate,United States,New York City,New York,10024,East,Furniture,Tables,1071.576,4,0.4,-553.6476
Standard Class,Corporate,United States,New York City,New York,10024,East,Furniture,Tables,613.908,3,0.4,-122.7816
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Paper,34.86,7,0.0,16.3842
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Paper,155.04,4,0.0,75.9696
Standard Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Binders,13.71,5,0.7,-10.054
First Class,Consumer,United States,Clinton,Maryland,20735,East,Office Supplies,Paper,23.12,4,0.0,11.3288
Standard Class,Corporate,United States,Fairfield,Ohio,45014,East,Furniture,Furnishings,532.704,6,0.2,-26.6352
Standard Class,Corporate,United States,Fairfield,Ohio,45014,East,Office Supplies,Art,4.912,2,0.2,0.307
Second Class,Corporate,United States,Warwick,Rhode Island,2886,East,Technology,Accessories,252.0,4,0.0,93.24
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Binders,76.776,4,0.7,-58.8616
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Supplies,9.184,2,0.2,1.148
Standard Class,Home Office,United States,Lorain,Ohio,44052,East,Office Supplies,Fasteners,7.216,2,0.2,1.7138
Standard Class,Home Office,United States,Lorain,Ohio,44052,East,Office Supplies,Paper,49.568,2,0.2,15.49
Standard Class,Home Office,United States,Lorain,Ohio,44052,East,Furniture,Furnishings,54.712,7,0.2,11.6263
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Paper,6.48,1,0.0,3.1104
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Paper,41.86,7,0.0,20.5114
Standard Class,Consumer,United States,New York City,New York,10009,East,Technology,Accessories,1619.91,9,0.0,97.1946
Standard Class,Consumer,United States,New York City,New York,10009,East,Furniture,Furnishings,113.92,4,0.0,42.1504
Standard Class,Consumer,United States,Malden,Massachusetts,2148,East,Office Supplies,Art,39.68,2,0.0,10.3168
Standard Class,Corporate,United States,New York City,New York,10035,East,Technology,Accessories,37.6,2,0.0,2.256
Standard Class,Corporate,United States,New York City,New York,10035,East,Technology,Accessories,59.9,2,0.0,23.96
Standard Class,Corporate,United States,New York City,New York,10035,East,Office Supplies,Paper,37.0,5,0.0,16.65
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Fasteners,5.68,2,0.2,1.917
Standard Class,Home Office,United States,Holyoke,Massachusetts,1040,East,Furniture,Bookcases,301.96,2,0.0,60.392
Standard Class,Consumer,United States,Fairfield,Ohio,45014,East,Technology,Accessories,158.928,7,0.2,41.7186
Standard Class,Consumer,United States,Fairfield,Ohio,45014,East,Office Supplies,Binders,13.023,1,0.7,-10.4184
Standard Class,Consumer,United States,Fairfield,Ohio,45014,East,Furniture,Tables,273.06,2,0.4,-104.673
Standard Class,Consumer,United States,Fairfield,Ohio,45014,East,Office Supplies,Fasteners,39.312,13,0.2,12.7764
Standard Class,Consumer,United States,New York City,New York,10009,East,Furniture,Chairs,366.786,7,0.1,65.2064
Standard Class,Consumer,United States,Passaic,New Jersey,7055,East,Technology,Phones,345.0,5,0.0,86.25
Standard Class,Consumer,United States,Passaic,New Jersey,7055,East,Furniture,Tables,174.286,2,0.3,-19.9184
Standard Class,Consumer,United States,Passaic,New Jersey,7055,East,Office Supplies,Appliances,662.84,4,0.0,172.3384
Standard Class,Consumer,United States,Passaic,New Jersey,7055,East,Technology,Accessories,95.1,5,0.0,30.432
Standard Class,Consumer,United States,Passaic,New Jersey,7055,East,Office Supplies,Envelopes,26.88,6,0.0,12.9024
Standard Class,Consumer,United States,Passaic,New Jersey,7055,East,Technology,Phones,257.98,2,0.0,74.8142
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19143,East,Furniture,Chairs,492.835,5,0.3,-14.081
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Labels,18.75,5,0.0,9.0
Second Class,Consumer,United States,New York City,New York,10011,East,Technology,Phones,119.7,6,0.0,31.122
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Binders,9.144,3,0.2,3.0861
Second Class,Consumer,United States,New York City,New York,10011,East,Technology,Accessories,57.06,3,0.0,18.2592
Second Class,Consumer,United States,New York City,New York,10011,East,Technology,Accessories,71.6,8,0.0,13.604
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Storage,107.44,8,0.0,27.9344
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Labels,7.31,1,0.0,3.4357
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Art,59.1,6,0.0,22.458
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Storage,46.53,3,0.0,12.0978
Standard Class,Consumer,United States,Plainfield,New Jersey,7060,East,Office Supplies,Appliances,97.84,2,0.0,25.4384
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,83.92,5,0.2,29.372
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,14.624,2,0.2,5.1184
Standard Class,Consumer,United States,New York City,New York,10009,East,Technology,Phones,136.99,1,0.0,36.9873
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Labels,3.15,1,0.0,1.512
Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Art,5.46,3,0.0,1.4742
Second Class,Corporate,United States,Newark,Delaware,19711,East,Office Supplies,Storage,85.52,2,0.0,22.2352
Second Class,Corporate,United States,Newark,Delaware,19711,East,Office Supplies,Art,9.84,3,0.0,2.6568
Second Class,Corporate,United States,Newark,Delaware,19711,East,Office Supplies,Paper,20.04,3,0.0,9.6192
Second Class,Consumer,United States,New York City,New York,10024,East,Technology,Phones,631.96,4,0.0,303.3408
Second Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Paper,23.92,4,0.0,10.764
Standard Class,Consumer,United States,Jamestown,New York,14701,East,Technology,Phones,4548.81,7,0.0,1228.1787
Standard Class,Consumer,United States,Bowling Green,Ohio,43402,East,Office Supplies,Storage,264.32,2,0.2,19.824
Standard Class,Corporate,United States,Westfield,New Jersey,7090,East,Furniture,Furnishings,129.93,3,0.0,12.993
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Storage,1801.632,6,0.2,-337.806
Second Class,Consumer,United States,Cleveland,Ohio,44105,East,Furniture,Chairs,181.986,2,0.3,-54.5958
Second Class,Consumer,United States,Cleveland,Ohio,44105,East,Technology,Phones,431.976,4,0.4,-100.7944
Second Class,Consumer,United States,Cleveland,Ohio,44105,East,Technology,Phones,155.37,1,0.4,-36.253
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Appliances,143.952,3,0.2,14.3952
Standard Class,Home Office,United States,Malden,Massachusetts,2148,East,Furniture,Bookcases,173.94,3,0.0,13.9152
Standard Class,Home Office,United States,Malden,Massachusetts,2148,East,Office Supplies,Labels,14.76,4,0.0,6.9372
Standard Class,Consumer,United States,New York City,New York,10035,East,Technology,Accessories,50.0,2,0.0,12.0
Second Class,Corporate,United States,New York City,New York,10009,East,Technology,Accessories,15.02,1,0.0,2.7036
Second Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Storage,33.82,2,0.0,9.1314
Standard Class,Corporate,United States,New York City,New York,10011,East,Office Supplies,Storage,478.08,8,0.0,133.8624
Same Day,Corporate,United States,Newark,Ohio,43055,East,Technology,Phones,164.388,2,0.4,-35.6174
Same Day,Corporate,United States,Newark,Ohio,43055,East,Office Supplies,Art,13.248,4,0.2,3.6432
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Storage,248.57,7,0.0,67.1139
Standard Class,Consumer,United States,New York City,New York,10024,East,Furniture,Furnishings,22.23,1,0.0,9.7812
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Appliances,121.94,2,0.0,35.3626
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Supplies,122.71,7,0.0,36.813
Same Day,Consumer,United States,New York City,New York,10035,East,Office Supplies,Paper,14.94,3,0.0,7.0218
Same Day,Consumer,United States,New York City,New York,10035,East,Technology,Machines,1349.85,3,0.0,364.4595
Same Day,Consumer,United States,New York City,New York,10035,East,Furniture,Bookcases,136.784,1,0.2,5.1294
Same Day,Consumer,United States,New York City,New York,10035,East,Furniture,Furnishings,61.12,4,0.0,20.7808
First Class,Home Office,United States,New York City,New York,10024,East,Technology,Copiers,11199.968,4,0.2,3919.9888
First Class,Home Office,United States,New York City,New York,10024,East,Technology,Phones,2399.6,8,0.0,647.892
First Class,Home Office,United States,New York City,New York,10024,East,Office Supplies,Envelopes,63.9,5,0.0,28.755
First Class,Home Office,United States,New York City,New York,10024,East,Technology,Phones,52.99,1,0.0,0.5299
First Class,Corporate,United States,Springfield,Ohio,45503,East,Technology,Accessories,60.864,4,0.2,9.1296
First Class,Corporate,United States,Springfield,Ohio,45503,East,Technology,Machines,652.995,7,0.7,-935.9595
First Class,Corporate,United States,Springfield,Ohio,45503,East,Office Supplies,Binders,11.22,10,0.7,-7.48
Standard Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Paper,19.04,4,0.0,9.3296
Standard Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Binders,13.128,3,0.2,4.2666
Standard Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Art,64.14,3,0.0,16.6764
Standard Class,Consumer,United States,New York City,New York,10035,East,Furniture,Chairs,858.24,4,0.1,143.04
Standard Class,Corporate,United States,New York City,New York,10035,East,Technology,Phones,1979.89,11,0.0,494.9725
Standard Class,Corporate,United States,New York City,New York,10035,East,Office Supplies,Envelopes,79.96,2,0.0,35.982
Second Class,Corporate,United States,Lowell,Massachusetts,1852,East,Office Supplies,Paper,166.44,3,0.0,79.8912
Second Class,Corporate,United States,Lowell,Massachusetts,1852,East,Furniture,Chairs,785.88,6,0.0,212.1876
Second Class,Corporate,United States,Lowell,Massachusetts,1852,East,Office Supplies,Paper,26.2,2,0.0,12.838
Second Class,Corporate,United States,Lowell,Massachusetts,1852,East,Office Supplies,Storage,1325.85,5,0.0,238.653
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Binders,5.346,3,0.7,-4.455
First Class,Consumer,United States,Lancaster,Ohio,43130,East,Office Supplies,Paper,30.352,2,0.2,10.6232
Standard Class,Consumer,United States,Baltimore,Maryland,21215,East,Office Supplies,Paper,116.28,3,0.0,56.9772
Second Class,Consumer,United States,New York City,New York,10009,East,Technology,Accessories,132.6,6,0.0,17.238
First Class,Corporate,United States,Lakewood,Ohio,44107,East,Furniture,Furnishings,45.888,4,0.2,9.1776
Second Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,60.12,9,0.0,22.2444
Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,129.98,2,0.0,62.3904
Standard Class,Consumer,United States,New York City,New York,10024,East,Technology,Phones,377.97,3,0.0,109.6113
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Technology,Phones,359.97,5,0.4,-71.994
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Furniture,Tables,350.352,4,0.4,-140.1408
First Class,Consumer,United States,Toledo,Ohio,43615,East,Office Supplies,Binders,1.641,1,0.7,-1.3128
First Class,Consumer,United States,Toledo,Ohio,43615,East,Technology,Phones,629.958,7,0.4,94.4937
Standard Class,Consumer,United States,Plainfield,New Jersey,7060,East,Technology,Phones,73.98,2,0.0,19.9746
Standard Class,Consumer,United States,Plainfield,New Jersey,7060,East,Office Supplies,Art,5.58,1,0.0,2.1762
Standard Class,Consumer,United States,Newark,Delaware,19711,East,Technology,Phones,377.97,3,0.0,94.4925
Standard Class,Consumer,United States,Newark,Delaware,19711,East,Office Supplies,Paper,42.28,7,0.0,19.8716
Standard Class,Consumer,United States,Newark,Delaware,19711,East,Furniture,Bookcases,299.97,3,0.0,56.9943
Standard Class,Consumer,United States,Newark,Delaware,19711,East,Technology,Phones,89.98,2,0.0,43.1904
Second Class,Consumer,United States,Newark,Ohio,43055,East,Office Supplies,Envelopes,46.72,5,0.2,17.52
Standard Class,Consumer,United States,Franklin,Massachusetts,2038,East,Furniture,Tables,700.056,3,0.3,-130.0104
Second Class,Consumer,United States,New York City,New York,10035,East,Technology,Accessories,239.97,3,0.0,71.991
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,10.332,3,0.7,-7.5768
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,31.155,5,0.7,-23.8855
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Storage,8.928,2,0.2,0.6696
First Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Appliances,34.384,1,0.2,3.8682
First Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Appliances,1924.16,8,0.2,312.676
Standard Class,Home Office,United States,Springfield,Ohio,45503,East,Office Supplies,Paper,10.368,2,0.2,3.6288
First Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Labels,59.2,4,0.0,29.6
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Technology,Phones,23.988,2,0.4,-15.992
Standard Class,Corporate,United States,Troy,Ohio,45373,East,Technology,Phones,23.976,4,0.4,-15.5844
Standard Class,Home Office,United States,Franklin,Massachusetts,2038,East,Office Supplies,Binders,114.6,5,0.0,51.57
Standard Class,Home Office,United States,Franklin,Massachusetts,2038,East,Furniture,Chairs,60.74,1,0.0,15.185
Standard Class,Home Office,United States,Franklin,Massachusetts,2038,East,Furniture,Furnishings,124.36,2,0.0,27.3592
Standard Class,Home Office,United States,Franklin,Massachusetts,2038,East,Office Supplies,Storage,1088.76,6,0.0,315.7404
First Class,Consumer,United States,Lancaster,Ohio,43130,East,Office Supplies,Paper,108.336,6,0.2,37.9176
First Class,Consumer,United States,Lancaster,Ohio,43130,East,Office Supplies,Storage,55.92,5,0.2,6.291
First Class,Consumer,United States,Lancaster,Ohio,43130,East,Office Supplies,Paper,78.304,2,0.2,29.364
Second Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Storage,120.33,1,0.0,31.2858
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Technology,Accessories,36.048,3,0.2,-0.9012
First Class,Consumer,United States,Everett,Massachusetts,2149,East,Office Supplies,Art,50.94,3,0.0,14.2632
First Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Storage,64.784,1,0.2,-12.9568
Second Class,Consumer,United States,Oceanside,New York,11572,East,Furniture,Furnishings,14.98,1,0.0,6.8908
Second Class,Consumer,United States,Oceanside,New York,11572,East,Furniture,Furnishings,20.32,4,0.0,6.9088
Same Day,Corporate,United States,Franklin,Massachusetts,2038,East,Office Supplies,Storage,40.29,3,0.0,10.4754
Second Class,Consumer,United States,Toledo,Ohio,43615,East,Office Supplies,Supplies,14.72,5,0.2,-3.312
Second Class,Consumer,United States,Toledo,Ohio,43615,East,Office Supplies,Storage,38.976,3,0.2,-2.436
First Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Fasteners,6.03,3,0.0,2.9547
Standard Class,Home Office,United States,Westfield,New Jersey,7090,East,Office Supplies,Envelopes,52.34,2,0.0,24.5998
Standard Class,Home Office,United States,Westfield,New Jersey,7090,East,Office Supplies,Art,4.66,2,0.0,1.3514
Standard Class,Home Office,United States,Westfield,New Jersey,7090,East,Technology,Accessories,254.97,3,0.0,91.7892
Second Class,Home Office,United States,Orange,New Jersey,7050,East,Office Supplies,Binders,25.44,6,0.0,12.72
Second Class,Home Office,United States,Orange,New Jersey,7050,East,Office Supplies,Supplies,27.93,3,0.0,8.0997
Standard Class,Corporate,United States,Rochester,New York,14609,East,Office Supplies,Paper,11.56,2,0.0,5.6644
Standard Class,Corporate,United States,Rochester,New York,14609,East,Office Supplies,Paper,26.4,5,0.0,11.88
Standard Class,Corporate,United States,Rochester,New York,14609,East,Furniture,Furnishings,69.08,11,0.0,29.0136
Standard Class,Corporate,United States,Rochester,New York,14609,East,Technology,Phones,35.88,3,0.0,10.0464
Standard Class,Consumer,United States,Long Beach,New York,11561,East,Office Supplies,Art,49.65,5,0.0,20.853
Standard Class,Consumer,United States,New York City,New York,10035,East,Technology,Copiers,479.984,2,0.2,59.998
Standard Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Labels,12.6,4,0.0,6.048
Standard Class,Consumer,United States,Hempstead,New York,11550,East,Office Supplies,Envelopes,41.4,5,0.0,19.458
Standard Class,Consumer,United States,Hempstead,New York,11550,East,Office Supplies,Art,35.0,4,0.0,10.5
Standard Class,Consumer,United States,Hempstead,New York,11550,East,Office Supplies,Binders,39.552,3,0.2,14.3376
Same Day,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Fasteners,15.8,5,0.2,2.37
Same Day,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,14.368,2,0.2,3.9512
Same Day,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,70.448,7,0.2,12.3284
First Class,Consumer,United States,Watertown,New York,13601,East,Office Supplies,Appliances,19.9,1,0.0,8.955
First Class,Consumer,United States,Watertown,New York,13601,East,Furniture,Furnishings,70.71,1,0.0,4.9497
Standard Class,Corporate,United States,New York City,New York,10035,East,Technology,Phones,39.99,1,0.0,11.5971
Standard Class,Home Office,United States,Watertown,New York,13601,East,Furniture,Chairs,191.646,3,0.1,31.941
Standard Class,Consumer,United States,Springfield,Ohio,45503,East,Office Supplies,Binders,2.313,1,0.7,-1.9275
Same Day,Corporate,United States,Philadelphia,Pennsylvania,19143,East,Furniture,Chairs,188.552,7,0.3,-2.6936
Second Class,Consumer,United States,Rochester,New York,14609,East,Office Supplies,Storage,22.58,2,0.0,5.8708
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Paper,20.736,4,0.2,7.2576
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Furniture,Furnishings,43.296,2,0.2,4.3296
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Appliances,61.44,3,0.0,16.5888
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Envelopes,24.896,4,0.2,8.4024
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Furniture,Furnishings,3.984,1,0.2,0.6474
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Technology,Accessories,95.968,4,0.2,28.7904
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Technology,Machines,206.991,3,0.7,-172.4925
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Appliances,44.416,2,0.2,3.8864
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Binders,9.006,2,0.7,-7.2048
Standard Class,Home Office,United States,Rochester,New York,14609,East,Office Supplies,Binders,33.376,4,0.2,10.43
First Class,Home Office,United States,New York City,New York,10011,East,Office Supplies,Appliances,207.48,1,0.0,62.244
First Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Appliances,904.9,5,0.0,253.372
Standard Class,Corporate,United States,Toledo,Ohio,43615,East,Office Supplies,Appliances,243.88,5,0.2,27.4365
Standard Class,Home Office,United States,New York City,New York,10035,East,Furniture,Tables,344.22,2,0.4,-103.266
Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Binders,52.272,11,0.2,17.6418
Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Paper,17.94,3,0.0,8.073
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,254.352,3,0.2,0.0
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19143,East,Office Supplies,Paper,20.736,4,0.2,7.2576
Second Class,Consumer,United States,Troy,Ohio,45373,East,Technology,Phones,1022.97,5,0.4,-255.7425
Standard Class,Corporate,United States,Newark,Ohio,43055,East,Technology,Accessories,119.976,3,0.2,22.4955
First Class,Corporate,United States,Newark,Delaware,19711,East,Technology,Phones,83.97,3,0.0,23.5116
First Class,Corporate,United States,Newark,Delaware,19711,East,Technology,Accessories,104.97,3,0.0,7.3479
Same Day,Home Office,United States,Toledo,Ohio,43615,East,Office Supplies,Appliances,663.936,4,0.2,82.992
Standard Class,Corporate,United States,Newark,Delaware,19711,East,Office Supplies,Storage,2934.33,7,0.0,792.2691
Standard Class,Corporate,United States,Newark,Delaware,19711,East,Furniture,Furnishings,124.41,3,0.0,14.9292
Standard Class,Corporate,United States,Newark,Delaware,19711,East,Office Supplies,Art,57.75,5,0.0,26.565
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Binders,3.928,1,0.2,1.3257
Standard Class,Consumer,United States,Newark,Delaware,19711,East,Office Supplies,Binders,447.86,7,0.0,219.4514
Standard Class,Consumer,United States,Newark,Delaware,19711,East,Technology,Phones,479.95,5,0.0,129.5865
Standard Class,Consumer,United States,Newark,Delaware,19711,East,Office Supplies,Paper,166.44,3,0.0,79.8912
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Binders,10.776,3,0.2,3.5022
Standard Class,Consumer,United States,New York City,New York,10024,East,Furniture,Bookcases,242.352,3,0.2,9.0882
Second Class,Corporate,United States,Providence,Rhode Island,2908,East,Office Supplies,Supplies,695.16,6,0.0,34.758
Second Class,Corporate,United States,Providence,Rhode Island,2908,East,Furniture,Bookcases,220.98,1,0.0,50.8254
Standard Class,Home Office,United States,Columbus,Ohio,43229,East,Office Supplies,Binders,12.957,7,0.7,-9.5018
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Paper,25.68,6,0.0,11.556
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Phones,258.528,2,0.4,-47.3968
Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Paper,49.12,4,0.0,23.0864
First Class,Corporate,United States,Oceanside,New York,11572,East,Furniture,Furnishings,13.28,2,0.0,6.3744
First Class,Corporate,United States,Oceanside,New York,11572,East,Office Supplies,Binders,12.672,3,0.2,4.4352
First Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Appliances,206.43,3,0.0,90.8292
Second Class,Consumer,United States,Cincinnati,Ohio,45231,East,Technology,Accessories,119.96,5,0.2,35.988
Second Class,Consumer,United States,Cincinnati,Ohio,45231,East,Office Supplies,Art,10.608,6,0.2,0.9282
First Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Paper,32.4,5,0.0,15.552
First Class,Consumer,United States,Newark,Ohio,43055,East,Technology,Accessories,2025.36,6,0.2,607.608
First Class,Consumer,United States,Newark,Ohio,43055,East,Technology,Machines,1799.994,2,0.7,-2639.9912
First Class,Consumer,United States,Newark,Ohio,43055,East,Technology,Phones,101.988,2,0.4,-16.998
First Class,Consumer,United States,Newark,Ohio,43055,East,Furniture,Furnishings,262.864,7,0.2,69.0018
Standard Class,Corporate,United States,New York City,New York,10009,East,Furniture,Tables,284.364,2,0.4,-75.8304
Standard Class,Corporate,United States,New York City,New York,10009,East,Technology,Accessories,26.0,2,0.0,11.7
Same Day,Consumer,United States,New York City,New York,10024,East,Office Supplies,Paper,18.76,2,0.0,9.0048
Standard Class,Corporate,United States,New York City,New York,10011,East,Furniture,Furnishings,20.94,3,0.0,6.0726
Standard Class,Corporate,United States,New York City,New York,10011,East,Furniture,Furnishings,58.68,2,0.0,18.1908
Standard Class,Corporate,United States,New York City,New York,10011,East,Office Supplies,Appliances,254.9,5,0.0,68.823
Second Class,Corporate,United States,Columbia,Maryland,21044,East,Office Supplies,Binders,9.64,2,0.0,4.4344
Second Class,Corporate,United States,Columbia,Maryland,21044,East,Technology,Accessories,826.62,3,0.0,355.4466
Second Class,Corporate,United States,Columbia,Maryland,21044,East,Office Supplies,Storage,1633.14,9,0.0,473.6106
Second Class,Corporate,United States,Columbia,Maryland,21044,East,Office Supplies,Storage,544.38,3,0.0,157.8702
Standard Class,Corporate,United States,Lowell,Massachusetts,1852,East,Technology,Phones,69.93,7,0.0,32.1678
Standard Class,Corporate,United States,New York City,New York,10035,East,Technology,Phones,65.99,1,0.0,17.1574
Standard Class,Corporate,United States,New York City,New York,10009,East,Technology,Phones,29.97,3,0.0,14.0859
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Art,18.704,7,0.2,2.338
Second Class,Consumer,United States,Akron,Ohio,44312,East,Furniture,Furnishings,149.232,3,0.2,3.7308
Second Class,Consumer,United States,Akron,Ohio,44312,East,Office Supplies,Paper,15.936,4,0.2,5.7768
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Art,1.504,1,0.2,0.1692
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Appliances,34.848,2,0.2,6.534
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Binders,931.176,3,0.2,314.2719
Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,430.88,2,0.0,124.9552
Standard Class,Corporate,United States,Lakewood,New Jersey,8701,East,Office Supplies,Paper,94.85,5,0.0,45.528
